UTC_TS,LEVEL,COMPONENT,MESSAGE
10:31:21.918,INFO,FileLogger,"Current config = {""enabled"":true,""level"":""info"",""days"":7}"
10:31:59.659,DEBUG,main,"info: {""mode"":""release"",""name"":""n3uron"",""ts"":""2022-11-16T15:00:40.670Z"",""product"":""N3uron"",""company"":""N3uron Connectivity Systems"",""country"":""US"",""contact"":{""web"":""www.n3uron.com"",""support"":""support@n3uron.com"",""phone"":""""},""version"":""1.21.3"",""fileversion"":""1.21.3-221116.1500"",""platform"":""linux"",""arch"":""x64"",""sysarch"":""x64""}"
10:31:59.660,DEBUG,main,Loading library/module: bootstrap-main
10:31:59.660,DEBUG,main,Loading file: /opt/n3uron/bin/bootstrap/bootstrap-main-1.38.3-221117.1159.n3b
10:31:59.664,DEBUG,main,File loaded OK
10:31:59.664,DEBUG,main,Library/module loaded OK
10:31:59.677,TRACE,main,Loading config template: tpl/default.json
10:31:59.677,TRACE,main,Loading config template: tpl/logger.json
10:31:59.677,TRACE,main,Loading config template: tpl/api.json
10:31:59.677,TRACE,main,Loading config template: tpl/AlarmsEvents.json
10:31:59.678,TRACE,main,Loading config template: tpl/Module.json
10:31:59.678,TRACE,main,Loading config template: tpl/Group.json
10:31:59.678,TRACE,main,Loading config template: tpl/Tag.json
10:31:59.678,TRACE,main,Loading config template: tpl/TagScaling.json
10:31:59.678,TRACE,main,Loading config template: tpl/TagHistory.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagHistoryConfig.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagSource.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagAlarmsEvents-boolean.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagAlarmsEvents-number.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagAlarmsEvents-string.json
10:31:59.679,TRACE,main,Loading config template: tpl/TagAlarm-boolean.json
10:31:59.680,TRACE,main,Loading config template: tpl/TagAlarm-number.json
10:31:59.680,TRACE,main,Loading config template: tpl/TagAlarm-string.json
10:31:59.680,TRACE,main,Loading config template: tpl/View.json
10:31:59.680,TRACE,main,Loading config template: tpl/Role.json
10:31:59.680,TRACE,main,Loading config template: tpl/TagView.json
10:31:59.680,TRACE,main,Loading config template: tpl/Links.json
10:31:59.681,TRACE,main,Loading config template: tpl/LinksIn.json
10:31:59.681,TRACE,main,Loading config template: tpl/LinksServer.json
10:31:59.681,TRACE,main,Loading config template: tpl/LinkSsl.json
